Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,region
Ucrania,2703,3620,4435,5864,4909,6390,9798,11618,13402,13645,14067,14882,16264,19461,Europa
Vaticano,0,0,0,0,0,0,0,53,1,0,4,1,20,36,Europa
AfganistÃ¡n,64,49,59,53,53,70,98,87,112,125,119,160,139,227,Asia
Arabia Saudita,237,284,341,461,436,849,1515,2384,3017,4257,5739,4657,3320,4226,Asia
Armenia,368,351,583,714,554,552,620,706,762,933,1354,1439,1679,2010,Asia
AzerbaiyÃ¡n,75,138,167,213,189,315,249,292,373,416,460,369,402,506,Asia
BahrÃ©in,14,25,25,50,26,66,74,97,115,141,168,211,212,198,Asia
Bangladesh,137,201,176,275,264,468,432,426,465,706,745,803,957,1195,Asia
Brunei,8,3,5,8,3,42,13,22,16,27,25,24,11,19,Asia
ButÃ¡n,6,11,12,12,5,37,12,18,29,42,32,69,68,55,Asia
Camboya,14,31,28,80,37,69,46,106,64,115,99,118,139,156,Asia
China,10551,12007,17489,19903,17220,28398,36878,47810,60538,75665,97889,123736,141692,167663,Asia
Chipre,279,336,424,475,344,406,422,497,440,555,520,679,745,942,Asia
"Corea, R.P.D. (Norte)",61,65,224,147,225,221,238,192,218,250,214,210,105,112,Asia
"Corea, Rep. (Sur)",27433,31778,37435,35696,26178,34965,40303,47615,59249,75090,95454,92193,106718,122307,Asia
Emiratos Ãrabes Unidos,21,42,68,106,84,153,207,231,257,463,486,609,484,523,Asia
Filipinas,3668,4174,5477,5515,4837,6867,7671,8010,9122,10877,12366,14239,16242,17603,Asia
Georgia,102,145,168,421,251,284,316,324,405,463,441,441,475,589,Asia
Hong Kong (China),481,764,1203,1267,1270,1406,1365,1435,1842,2109,2965,3272,3671,4377,Asia
India,7163,9205,12815,16313,13997,19398,24106,28534,33860,42683,52339,59020,64921,81530,Asia
Indonesia,770,951,1173,1432,1051,1618,1899,2346,2252,2496,3002,3317,3801,3908,Asia
Irak,76,80,92,114,157,201,235,296,387,372,453,427,465,526,Asia
IrÃ¡n,906,1129,1459,1888,1584,2484,2638,2738,2648,2989,3519,3949,5227,6655,Asia
Israel,15528,15569,18519,22900,16192,20052,22498,26471,28234,34241,40592,43921,44386,46886,Asia
JapÃ³n,64631,68013,71292,69716,52229,66164,72339,85687,97226,107366,118739,132976,151043,156471,Asia
Jordania,181,208,275,328,291,428,412,452,584,757,832,963,1066,1228,Asia
KazajistÃ¡n,186,243,427,535,332,735,823,983,1164,1279,1454,1296,1603,1842,Asia
KirguistÃ¡n,25,47,44,76,96,146,155,140,206,185,181,216,379,438,Asia
Kuwait,114,141,168,180,148,450,741,761,1087,1394,1586,1689,1280,1355,Asia
Laos,22,32,34,26,22,37,31,46,26,58,46,87,68,61,Asia
LÃ­bano,679,711,1015,1212,1038,1311,1440,1642,1643,1784,2055,2164,2417,2442,Asia
Macao (China),0,0,0,13,18,25,20,19,13,17,37,55,48,70,Asia
Malasia,971,1581,1502,1630,1457,2115,2097,2388,2702,3540,3628,3724,4186,4998,Asia
Maldivas,3,4,3,3,4,16,12,6,7,7,6,16,21,14,Asia
Mianmar (Birmania),63,68,78,80,33,72,71,111,159,234,201,254,264,299,Asia
Mongolia,36,52,56,112,72,113,114,159,109,231,233,362,319,392,Asia
